REPORTING_YEAR,CHEM_NAME,REL_EST_AMT,CARCINOGEN,CLEAN_AIR,LIST_3350,PFAS_IND,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,ZIP_CODE,REGION,TOTAL_RELEASE
2016,Naphthalene,21,Y,Y,N,0,1100 GLASS HOUSE RD,JEFFERSON HILLS,ALLEGHENY,PA,15025,3,21
2018,Styrene,2707,Y,Y,N,0,2650 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,2707
2020,Xylene (mixed isomers),10.65,N,Y,Y,0,128 FIRST ST,PITTSBURGH,ALLEGHENY,PA,15238,3,10.65
2019,Ethylbenzene,1768,Y,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,1768
2015,Nickel,0,Y,Y,Y,0,1024 E SMITHFIELD ST,MC KEESPORT,ALLEGHENY,PA,15135,3,
2018,Copper  And Copper Compounds,16,N,N,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,16
2015,Methanol,1028,N,Y,N,0,650 NOBLE DR,WEST MIFFLIN,ALLEGHENY,PA,15122,3,1028
2016,Zinc compounds,2100,N,N,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,2100
2016,1 2 4-Trimethylbenzene,250,N,N,N,0,2895 GRAND AVE,PITTSBURGH,ALLEGHENY,PA,15225,3,
2015,Ammonia,31000,N,N,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,31000
2015,Ammonia,3100,N,N,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,3100
2019,Ammonia,53000,N,N,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,53000
2021,Hydrogen cyanide,32045,N,N,Y,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,32045
2021,Hydrogen cyanide,2081,N,N,Y,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,2081
2017,Manganese compounds,1700,N,Y,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,1700
2020,Methyl isobutyl ketone,908,Y,Y,Y,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,908
2020,Methyl isobutyl ketone,6.3,Y,Y,Y,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,6.3
2017,Hydrogen cyanide,19000,N,N,Y,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,19000
2015,Diisocyanates,1,N,Y,N,0,128 FIRST ST,PITTSBURGH,ALLEGHENY,PA,15238,3,1
2016,n-Hexane,0,N,Y,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,
2016,n-Hexane,1300,N,Y,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,1300
2015,Methanol,4,N,Y,N,0,328 BUNOLA RIVER RD,BUNOLA,ALLEGHENY,PA,15020,3,4
2016,Isoprene,0,Y,N,N,0,STATE HWY 837,WEST ELIZABETH,ALLEGHENY,PA,15088,3,
2017,Nickel compounds,250,Y,Y,Y,0,109 48TH ST,PITTSBURGH,ALLEGHENY,PA,15201,3,
2016,Naphthalene,0,Y,Y,N,0,616 HITE RD,HARWICK,ALLEGHENY,PA,15049,3,
2018,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),55066,N,Y,N,0,CAMP HOLLOW RD,WEST MIFFLIN,ALLEGHENY,PA,15122,3,55066
2019,Phenanthrene,2662,N,Y,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,2662
2019,Propylene,766,N,N,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,766
2017,Polycyclic aromatic compounds,0,Y,Y,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,0
2021,Sulfuric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),900007.79,N,N,N,0,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,PA,15144,3,900007.79
2018,Nickel compounds,120,Y,Y,Y,0,FEDERAL ST GATE 10 C/O ALLEGHENY LUDLUM STEEL,NATRONA HEIGHTS,ALLEGHENY,PA,15065,3,120
2020,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),29263,N,Y,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,29263
2019,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0,N,N,N,0,148 NICHOL AVE - MRIE BLDG 162/163/164,MC KEES ROCKS,ALLEGHENY,PA,15136,3,0
2015,Naphthalene,0,Y,Y,N,0,2475 DEFENSE AVE,CORAOPOLIS,ALLEGHENY,PA,15108,3,0
2015,Nickel,0.44,Y,Y,Y,0,682 MAYER ST,BRIDGEVILLE,ALLEGHENY,PA,15017,3,0.44
2016,Toluene,509,N,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,509
2021,Nickel compounds,3,Y,Y,Y,0,CAMP HOLLOW RD,WEST MIFFLIN,ALLEGHENY,PA,15122,3,3
2019,Chromium,1,N,Y,Y,0,600 MAYER ST,BRIDGEVILLE,ALLEGHENY,PA,15017,3,1
2018,Tetrachloroethylene,306.97,Y,Y,Y,0,15 ALLEGHENY SQUARE,GLASSPORT,ALLEGHENY,PA,15045,3,306.97
2016,1 2 4-Trimethylbenzene,707,N,N,N,0,999 AIRBRAKE AVE,WILMERDING,ALLEGHENY,PA,15148,3,707
2015,Cyclohexane,700,N,N,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,700
2017,Vanadium compounds,32,N,N,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,32
2021,Toluene,0,N,Y,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,
2018,Copper  And Copper Compounds,96,N,N,N,0,100 RIVER RD,BRACKENRIDGE,ALLEGHENY,PA,15014,3,96
2019,Sulfuric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),56267.43,N,N,N,0,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,PA,15144,3,56267.43
2015,Ammonia,764,N,N,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,764
2018,Hydrochloric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),4784,N,Y,N,0,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,PA,15144,3,4784
2019,Copper,4260,N,N,N,0,1315 W LIBERTY AVE,PITTSBURGH,ALLEGHENY,PA,15226,3,4260
